SensorID,TrackingID,Start Time,End Time,Duration (seconds)
102030203,0,2024-11-26 12:32:40,2024-11-26 12:32:48,8.0
102030203,26,2024-11-26 12:25:21,2024-11-26 12:28:05,164.0
102030203,27,2024-11-26 12:25:28,2024-11-26 12:25:35,7.0
102030203,28,2024-11-26 12:25:59,2024-11-26 12:25:59,0.0
102030203,29,2024-11-26 12:26:06,2024-11-26 12:26:24,18.0
102030203,31,2024-11-26 12:26:40,2024-11-26 12:29:10,150.0
102030203,32,2024-11-26 12:26:31,2024-11-26 12:26:37,6.0
102030203,33,2024-11-26 12:26:34,2024-11-26 12:26:41,7.0
102030203,36,2024-11-26 12:27:22,2024-11-26 12:27:28,6.0
102030203,38,2024-11-26 12:27:08,2024-11-26 12:27:13,5.0
102030203,39,2024-11-26 12:27:19,2024-11-26 12:27:25,6.0
102030203,40,2024-11-26 12:28:08,2024-11-26 12:28:13,5.0
102030203,41,2024-11-26 12:28:09,2024-11-26 12:28:11,2.0
102030203,42,2024-11-26 12:28:12,2024-11-26 12:28:17,5.0
102030203,43,2024-11-26 12:28:13,2024-11-26 12:28:24,11.0
102030203,47,2024-11-26 12:28:25,2024-11-26 12:28:29,4.0
102030203,48,2024-11-26 12:28:55,2024-11-26 12:28:58,3.0
102030203,49,2024-11-26 12:28:52,2024-11-26 12:28:57,5.0
102030203,52,2024-11-26 12:29:22,2024-11-26 12:29:22,0.0
102030203,54,2024-11-26 12:29:25,2024-11-26 12:29:28,3.0
102030203,56,2024-11-26 12:29:37,2024-11-26 12:29:39,2.0
102030203,57,2024-11-26 12:29:36,2024-11-26 12:29:37,1.0
102030203,58,2024-11-26 12:29:37,2024-11-26 12:29:41,4.0
102030203,59,2024-11-26 12:29:38,2024-11-26 12:29:47,9.0
102030203,70,2024-11-26 12:29:51,2024-11-26 12:30:38,47.0
102030203,71,2024-11-26 12:30:07,2024-11-26 12:30:11,4.0
102030203,72,2024-11-26 12:30:04,2024-11-26 12:30:09,5.0
102030203,79,2024-11-26 12:30:45,2024-11-26 12:33:07,142.0
102030203,80,2024-11-26 12:31:03,2024-11-26 12:31:04,1.0
102030203,81,2024-11-26 12:31:04,2024-11-26 12:31:07,3.0
102030203,82,2024-11-26 12:31:05,2024-11-26 12:31:09,4.0
102030203,84,2024-11-26 12:31:41,2024-11-26 12:32:38,57.0
102030203,85,2024-11-26 12:31:34,2024-11-26 12:32:30,56.0
102030203,86,2024-11-26 12:32:03,2024-11-26 12:33:13,70.0
102030203,87,2024-11-26 12:32:33,2024-11-26 12:32:49,16.0
102030203,89,2024-11-26 12:32:43,2024-11-26 12:32:52,9.0
102030203,90,2024-11-26 12:32:42,2024-11-26 12:32:44,2.0
102030203,91,2024-11-26 12:32:54,2024-11-26 12:32:59,5.0
102030203,93,2024-11-26 12:32:56,2024-11-26 12:33:01,5.0
102030203,94,2024-11-26 12:32:58,2024-11-26 12:33:02,4.0
102030203,99,2024-11-26 12:33:23,2024-11-26 12:33:30,7.0
102030203,100,2024-11-26 12:33:29,2024-11-26 12:35:15,106.0
102030203,101,2024-11-26 12:34:00,2024-11-26 12:34:00,0.0
102030203,102,2024-11-26 12:34:19,2024-11-26 12:35:56,97.0
102030203,103,2024-11-26 12:34:25,2024-11-26 12:34:30,5.0
102030203,104,2024-11-26 12:34:41,2024-11-26 12:36:06,85.0
102030203,110,2024-11-26 12:36:36,2024-11-26 12:36:40,4.0
102030203,111,2024-11-26 12:37:53,2024-11-26 12:38:20,27.0
102030203,112,2024-11-26 12:37:14,2024-11-26 12:38:16,62.0
102030203,113,2024-11-26 12:37:26,2024-11-26 12:37:38,12.0
102030203,114,2024-11-26 12:38:00,2024-11-26 12:38:56,56.0
102040204,3,2024-11-26 12:25:21,2024-11-26 12:26:12,51.0
102040204,4,2024-11-26 12:26:31,2024-11-26 12:26:34,3.0
102040204,5,2024-11-26 12:26:37,2024-11-26 12:26:39,2.0
102040204,6,2024-11-26 12:26:39,2024-11-26 12:27:05,26.0
102040204,9,2024-11-26 12:28:03,2024-11-26 12:28:53,50.0
102040204,10,2024-11-26 12:27:21,2024-11-26 12:27:23,2.0
102040204,11,2024-11-26 12:27:26,2024-11-26 12:27:28,2.0
102040204,13,2024-11-26 12:28:10,2024-11-26 12:28:12,2.0
102040204,14,2024-11-26 12:28:18,2024-11-26 12:28:22,4.0
102040204,15,2024-11-26 12:28:18,2024-11-26 12:28:20,2.0
102040204,17,2024-11-26 12:28:54,2024-11-26 12:28:55,1.0
102040204,18,2024-11-26 12:28:58,2024-11-26 12:28:59,1.0
102040204,19,2024-11-26 12:29:11,2024-11-26 12:29:28,17.0
102040204,20,2024-11-26 12:29:28,2024-11-26 12:29:37,9.0
102040204,21,2024-11-26 12:29:36,2024-11-26 12:29:37,1.0
102040204,22,2024-11-26 12:29:37,2024-11-26 12:29:37,0.0
102040204,23,2024-11-26 12:29:41,2024-11-26 12:29:45,4.0
102040204,24,2024-11-26 12:29:46,2024-11-26 12:29:49,3.0
102040204,27,2024-11-26 12:30:06,2024-11-26 12:30:08,2.0
102040204,28,2024-11-26 12:30:09,2024-11-26 12:31:28,79.0
102040204,29,2024-11-26 12:30:10,2024-11-26 12:30:12,2.0
102040204,30,2024-11-26 12:31:03,2024-11-26 12:31:04,1.0
102040204,31,2024-11-26 12:31:04,2024-11-26 12:31:04,0.0
102040204,32,2024-11-26 12:31:06,2024-11-26 12:31:08,2.0
102040204,33,2024-11-26 12:31:09,2024-11-26 12:31:09,0.0
102040204,36,2024-11-26 12:31:32,2024-11-26 12:31:35,3.0
102040204,37,2024-11-26 12:31:37,2024-11-26 12:31:43,6.0
102040204,38,2024-11-26 12:31:45,2024-11-26 12:32:24,39.0
102040204,39,2024-11-26 12:31:51,2024-11-26 12:32:06,15.0
102040204,40,2024-11-26 12:32:33,2024-11-26 12:32:38,5.0
102040204,42,2024-11-26 12:32:43,2024-11-26 12:32:45,2.0
102040204,43,2024-11-26 12:32:48,2024-11-26 12:32:52,4.0
102040204,44,2024-11-26 12:32:47,2024-11-26 12:33:13,26.0
102040204,45,2024-11-26 12:32:54,2024-11-26 12:32:56,2.0
102040204,46,2024-11-26 12:32:54,2024-11-26 12:32:56,2.0
102040204,48,2024-11-26 12:32:59,2024-11-26 12:33:01,2.0
102040204,49,2024-11-26 12:33:05,2024-11-26 12:33:05,0.0
102040204,50,2024-11-26 12:33:30,2024-11-26 12:34:11,41.0
102040204,52,2024-11-26 12:34:14,2024-11-26 12:34:33,19.0
102040204,53,2024-11-26 12:35:13,2024-11-26 12:36:16,63.0
102040204,56,2024-11-26 12:36:54,2024-11-26 12:37:56,62.0
102040204,57,2024-11-26 12:38:15,2024-11-26 12:38:20,5.0
